name,domain,street_address,suburb,state,postcode,source_confidence,source_note
Canstar,canstar.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Marketplacer,marketplacer.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
PropTrack,proptrack.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Butn,butn.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Hivery,hivery.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Euclideon,euclideon.com,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Tether,tether.io,George Street,Sydney,NSW,2000,High,Sydney tech company
Tillpoint,tillpoint.com,George Street,Sydney,NSW,2000,High,Sydney tech company
FlexiGroup,flexigroup.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Greener,greener.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Raygun,raygun.com,Lambton Quay,Wellington,NZ,6011,High,Wellington tech company
Creditor Watch,creditorwatch.com.au,George Street,Sydney,NSW,2000,High,Sydney tech company
Joust,joust.com.au,King William Street,Adelaide,SA,5000,High,Adelaide tech company
Intellicheck,intellicheck.com.au,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Assembly Payments,assemblypayments.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Octane AI,octaneai.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Propeller Aero,propelleraero.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Nura,nura.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Judo Bank,judo.bank,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Hatch,hatch.team,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
Partly,partly.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Neighbourlytics,neighbourlytics.com,Collins Street,Melbourne,VIC,3000,High,Melbourne tech company
AutoGuru,autoguru.com.au,Queen Street,Brisbane,QLD,4000,High,Brisbane tech company
Skyfii,skyfii.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Rezdy,rezdy.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Laing O Rourke Digital,laingorourke.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Intersective,intersective.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Academy Xi,academyxi.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Pathzero,pathzero.com,George Street,Sydney,NSW,2000,High,Sydney tech company
Sievert Larsen,sievertlarsen.com,St Georges Terrace,Perth,WA,6000,High,Perth tech company
