name,domain,careers_url,city,reason,confidence
HiveUAV,hiveuav.com,https://hiveuav.com/careers,Newcastle,"Automated drone docking stations, remote flight teleoperation, and industrial asset inspection robotics, Newcastle NSW HQ",High
Devicie,devicie.com,https://devicie.com/careers,Sydney,"Automated end-user device cybersecurity compliance and Essential Eight endpoint configuration SaaS, Sydney NSW HQ",High
Precision Agriculture Australia,precisionagriculture.com.au,https://precisionagriculture.com.au/careers,Orange,"Soil mapping, variable rate prescription algorithms, and spatial farm yield analytics, Orange NSW HQ",High
Farmdeck,farmdeck.com,https://farmdeck.com/careers,Orange,"All-in-one IoT farm management sensors, water monitoring telemetry, and edge connectivity gateway, Orange NSW HQ",High
AgDNA,agdna.com,https://agdna.com/careers,Dubbo,"Precision agricultural data platform, machine telematics integration, and automated grain accounting, Dubbo NSW HQ",High
Kurrajong Tech,kurrajong.com.au,https://kurrajong.com.au/careers,Wagga Wagga,"Regional workforce disability assistive software and adaptive mobility computing solutions, Wagga Wagga NSW HQ",High
AgriFutures Australia Tech,agrifutures.com.au,https://agrifutures.com.au/careers,Wagga Wagga,"National rural research commercialisation portal, agrifood tech venture tracking, and innovation data exchange, Wagga Wagga NSW HQ",High
Flow Hive Tech,honeyflow.com.au,https://honeyflow.com.au/careers,Byron Bay,"Patented split-comb honey extraction harvesting systems and apiary IoT hive telemetry, Byron Bay NSW HQ",High
SMART Farm UNE,smartfarmune.com.au,https://smartfarmune.com.au/careers,Armidale,"University-backed precision livestock tracking, acoustic pasture biomass sensors, and remote paddock IoT, Armidale NSW HQ",High
Precision Pastures,precisionpastures.com.au,https://precisionpastures.com.au/careers,Armidale,"Soil carbon baseline measurement, satellite pasture productivity models, and carbon farming SaaS, Armidale NSW HQ",High
BeefLedger,beefledger.io,https://beefledger.io/careers,Tamworth,"Food provenance blockchain verification, livestock supply chain credentialing, and smart packaging telemetry, Tamworth NSW HQ",High
Agile Digital,agiledigital.com.au,https://agiledigital.com.au/careers,Canberra,"Enterprise software engineering, distributed systems integration, and sovereign public-sector digital platforms, Canberra ACT HQ",High
Noetic Group Tech,noeticgroup.com,https://noeticgroup.com/careers,Canberra,"Defence simulation, operational analysis modelling, and strategic decision systems architecture, Canberra ACT HQ",High
CEA Technologies,cea.com.au,https://cea.com.au/careers,Canberra,"Active phased-array radar electronics, missile defense sensor arrays, and RF beamforming radar computing, Fyshwick ACT HQ",High
Koala Tech,koala.com,https://koala.com/au/careers,Sydney,"Direct-to-consumer e-commerce architecture, furniture supply-chain digital twin, and modular industrial design, Sydney NSW HQ",High
Forter Australia,forter.com,https://www.forter.com/careers,Sydney,"Real-time e-commerce fraud prevention AI, identity graph transaction authentication, and abuse mitigation algorithms, Sydney NSW HQ",High
Smart Cities IoT Australia,smartcitiesiot.com.au,https://smartcitiesiot.com.au/careers,Wollongong,"Urban acoustic noise monitoring, air quality optical telemetry, and municipality smart city dashboards, Wollongong NSW HQ",High
Me3D,me3d.com.au,https://me3d.com.au/careers,Wollongong,"Educational 3D printer hardware, stereolithography slicing software, and STEM spatial curriculum tools, Wollongong NSW HQ",High
