"domain","street_address","suburb","state","postcode","source_confidence","source_note"
"dug.com","76 Kings Park Road","West Perth","WA","6005","High","Perth global headquarters and HPC facility"
"chironix.com","Level 13, 197 St Georges Terrace","Perth","WA","6000","High","Perth corporate headquarters"
"nexxis.com","70 Solomon Street","Fremantle","WA","6160","High","Perth engineering & robotics headquarters"
"trackem.com.au","Unit 2, 43 Kishorn Road","Applecross","WA","6153","High","Perth headquarters & SaaS development center"
"appbot.co","Level 1, 22 Mounts Bay Road","Perth","WA","6000","High","Perth headquarters"
"rent.com.au","3 Craig Street","Burswood","WA","6100","High","Perth ASX-listed headquarters"
"fbr.com.au","122 Sultana Road West","High Wycombe","WA","6057","High","Perth robotics engineering facility"
"orbitaluav.com","4 Whipple Street","Balcatta","WA","6021","High","Perth aerospace propulsion manufacturing campus"
"agworld.com","Level 1, 66 Kings Park Road","West Perth","WA","6005","High","Perth agtech headquarters"
"chrysoscorp.com","Level 1, 131-139 Grenfell Street","Adelaide","SA","5000","High","Adelaide corporate headquarters"
"inovor.com.au","Lot Fourteen, North Terrace","Adelaide","SA","5000","High","Lot Fourteen space tech hub"
"micro-x.com","A14, 6 MAB Eastern Promenade","Tonsley","SA","5042","High","Tonsley Innovation District campus"
"neumannspace.com","Lot Fourteen, Frome Road","Adelaide","SA","5000","High","Lot Fourteen space precinct"
"quantxlabs.com","Lot Fourteen, North Terrace","Adelaide","SA","5000","High","Lot Fourteen quantum laboratory"
"lbtinnovations.com","Level 1, 300 Flinders Street","Adelaide","SA","5000","High","Adelaide headquarters"
"seeleyinternational.com","112 O'Sullivan Beach Road","Lonsdale","SA","5160","High","Adelaide advanced manufacturing campus"
"dtexsystems.com","Level 2, 108 North Terrace","Adelaide","SA","5000","High","Adelaide R&D engineering hub"
"personifycare.com","Lot Fourteen, North Terrace","Adelaide","SA","5000","High","Lot Fourteen digital health center"
"redflow.com","1/27 Counihan Road","Seventeen Mile Rocks","QLD","4073","High","Brisbane cleantech manufacturing and R&D"
"valiantspace.com","3/10 Depot Street","Banyo","QLD","4014","High","Brisbane space propulsion lab"
"hypersonix.com","Level 7, 300 Adelaide Street","Brisbane","QLD","4000","High","Brisbane aerospace design center"
"bsaero.com.au","67 Magnesium Drive","Crestmead","QLD","4132","High","Logan rocket propulsion facility"
"floodmapp.com","315 Brunswick Street","Fortitude Valley","QLD","4006","High","Fortitude Valley innovation hub"
"vayeron.com","6/8 Margaret Street","Mackay","QLD","4740","High","Mackay regional IoT center"
"swarmfarm.com","691 Biggs Road","Gindie","QLD","4702","High","Emerald regional agricultural robotics facility"
"edapp.com","Level 2, 288 Edward Street","Brisbane","QLD","4000","High","Brisbane development campus"
"sniip.com","Level 2, 100 Creek Street","Brisbane","QLD","4000","High","Brisbane fintech office"
"maxmine.com.au","Level 4, 40 King William Street","Adelaide","SA","5000","High","Adelaide mining intelligence headquarters"
"redearth.energy","15 Fienta Place","Darra","QLD","4076","High","Brisbane clean energy manufacturing hub"
"novasystems.com","16-18 National Circuit","Barton","ACT","2600","High","Canberra defence technology office"
"cataglyphis.com.au","Castray Esplanade","Battery Point","TAS","7004","High","Hobart marine precinct"
"definium.net","72 Invermay Road","Invermay","TAS","7248","High","Launceston electronics manufacturing facility"
"anditi.com","153 Hunter Street","Newcastle","NSW","2300","High","Newcastle spatial analytics hub"
"tribotix.com","Unit 3, 21 Kalaroo Road","Redhead","NSW","2290","High","Newcastle robotics facility"
"switchdin.com","91 Parry Street","Newcastle West","NSW","2302","High","Newcastle cleantech software headquarters"
"portt.com","Level 1, 63 Kenny Street","Wollongong","NSW","2500","High","Wollongong tech center"
"zepto.com.au","108 Jonson Street","Byron Bay","NSW","2481","High","Byron Bay fintech headquarters"
"elenium.com","20 Silicon Place","Tullamarine","VIC","3043","High","Melbourne airport robotics campus"
"rubiconwater.com","1 Cato Street","Hawthorn East","VIC","3123","High","Melbourne global headquarters & engineering center"
"biarrinetworks.com","Level 6, 289 Flinders Lane","Melbourne","VIC","3000","High","Melbourne engineering office"
"biarrirail.com","Level 6, 289 Flinders Lane","Melbourne","VIC","3000","High","Melbourne optimization software office"
"sopranodesign.com","Level 2, 80 Mount Street","North Sydney","NSW","2060","High","North Sydney corporate headquarters"
"airtree.vc","Level 2, 80 George Street","The Rocks","NSW","2000","High","Sydney technology office"
"blackbird.vc","Level 2, 4-6 Bligh Street","Sydney","NSW","2000","High","Sydney headquarters"
"mseq.vc","Level 3, 23 Foster Street","Surry Hills","NSW","2010","High","Surry Hills deeptech office"
"hyphen.com","Level 5, 114 William Street","Melbourne","VIC","3000","High","Melbourne development center"
"reckon.com","Level 2, 100 Pacific Highway","North Sydney","NSW","2060","High","North Sydney ASX-listed headquarters"
"class.com.au","Level 3, 228 Pitt Street","Sydney","NSW","2000","High","Sydney headquarters"
"praemium.com","Level 19, 367 Collins Street","Melbourne","VIC","3000","High","Melbourne global headquarters"
"hub24.com.au","Level 2, 7 Macquarie Place","Sydney","NSW","2000","High","Sydney ASX-listed headquarters"
"netwealth.com.au","Level 8, 52 Collins Street","Melbourne","VIC","3000","High","Melbourne ASX-listed headquarters"
"sharesies.com.au","Level 4, 152 Elizabeth Street","Melbourne","VIC","3000","High","Melbourne fintech hub"
"raizinvest.com.au","Level 11, 2 Bulletin Place","Sydney","NSW","2000","High","Sydney ASX-listed headquarters"
"upflowy.com","Level 1, 60 Buckingham Street","Surry Hills","NSW","2010","High","Surry Hills SaaS lab"
"gristmill.com.au","48 Johnston Street","Fitzroy","VIC","3065","High","Fitzroy creative tech studio"
"propic.com.au","Suite 402, 100 Walker Street","North Sydney","NSW","2060","High","North Sydney AI technology hub"
"activepipe.com","Level 3, 287 Collins Street","Melbourne","VIC","3000","High","Melbourne tech office"
"home-in.com.au","11 Harbour Street","Sydney","NSW","2000","High","Commonwealth Bank Innovation Lab"
"weploy.com.au","Level 2, 162 Collins Street","Melbourne","VIC","3000","High","Melbourne HR tech office"
"flarehr.com","Level 11, 100 Arthur Street","North Sydney","NSW","2060","High","North Sydney headquarters"
"sidekicker.com","Level 3, 50 Queen Street","Melbourne","VIC","3000","High","Melbourne platform office"
"openagent.com.au","Level 4, 185 Clarence Street","Sydney","NSW","2000","High","Sydney analytics office"
"workscene.com.au","Unit 2, 14-16 Stanton Road","Seven Hills","NSW","2147","High","Seven Hills tech depot"
"xplortechnologies.com","Level 6, 420 St Kilda Road","Melbourne","VIC","3004","High","Melbourne development campus"
"tidyme.com.au","Suite 1, 137 Devonshire Street","Surry Hills","NSW","2010","High","Surry Hills operations hub"
"basiq.io","Level 2, 11 York Street","Sydney","NSW","2000","High","Sydney open banking engineering lab"
"frankieone.com","Level 3, 162 Collins Street","Melbourne","VIC","3000","High","Melbourne regtech headquarters"
