"name","domain","careers_url","city","reason","confidence"
"Desert Knowledge Australia","dka.com.au","https://dka.com.au/careers","Alice Springs","Solar demonstration facility telemetry, microgrid energy management algorithms, and remote desert renewables monitoring, Alice Springs NT HQ","High"
"Darwin Innovation Hub Tech","darwininnovationhub.com.au","https://darwininnovationhub.com.au/careers","Darwin","Northern Australian venture commercialisation and cross-border APAC deeptech incubation platform, Darwin NT HQ","High"
"GBR Biology Tech","gbrbiology.com","https://gbrbiology.com/careers","Cairns","Marine environmental sensor telemetry, coral larval robotics, and digital reef monitoring SaaS, Cairns QLD HQ","High"
"DataFarming","datafarming.com.au","https://datafarming.com.au/careers","Toowoomba","Satellite crop monitoring, near-infrared cloud NDVI indices, and precision farm imagery algorithms, Toowoomba QLD HQ","High"
"Cibo Labs","cibolabs.com.au","https://cibolabs.com.au/careers","Toowoomba","Satellite pasture measurement, automated biomass estimation algorithms, and regional land condition analytics SaaS, Toowoomba QLD HQ","High"
"Smart Paddock","smartpaddock.com","https://smartpaddock.com/careers","Bendigo","GPS livestock tracking smart tags, LoRaWAN animal sensor mesh, and herd biosecurity software, regional VIC HQ","High"
"Mort & Co Tech","mortco.com.au","https://mortco.com.au/careers","Toowoomba","Automated feedlot cattle RFID telemetry, nutritional optimization algorithms, and digital supply chain SaaS, Toowoomba QLD HQ","High"
"Pairtree Intelligence","pairtree.co","https://pairtree.co/careers","Orange","Agricultural IoT data integration pipeline, unified farm data exchange APIs, and telemetry visualization SaaS, Central West NSW HQ","High"
"Cauldron Ferm","cauldronferm.com","https://cauldronferm.com/careers","Orange","Continuous precision fermentation technology, hyper-fermentation bioreactors, and bio-manufacturing platform, Orange NSW HQ","High"
"Flavourtech","flavourtech.com","https://flavourtech.com/careers","Griffith","Centrifugal thin film evaporators, spinning cone column flavour extraction hardware, and industrial foodtech automation, Griffith NSW HQ","High"
"Quickstep Holdings","quickstep.com.au","https://quickstep.com.au/careers","Geelong","Aerospace composite manufacturing, sovereign defence aerospace components (F-35, C-130J), and patented Qure curing automation, Geelong VIC / Bankstown NSW","High"
"Safetech","safetech.com.au","https://safetech.com.au/careers","Moe","Automated industrial dock levellers, scissor lifts, and logistics lifting automation hardware, Moe regional Gippsland VIC HQ","High"
"Gekko Systems","gekkos.com","https://gekkos.com/careers","Ballarat","Energy-efficient mineral processing plants, automated gravity separation systems, and mining slurry robotics, Ballarat VIC HQ","High"
"Bisalloy Steel Tech","bisalloy.com.au","https://bisalloy.com.au/careers","Wollongong","High-strength quenched and tempered armor plate steel technology and ballistic metallurgy engineering, Unanderra / Wollongong NSW HQ","High"
"Green Gravity","greengravity.com","https://greengravity.com/careers","Wollongong","Gravitational energy storage in legacy mine shafts, automated weighted hoist kinetics, and grid-scale kinetic storage software, Wollongong NSW HQ","High"
"MGA Thermal","mgathermal.com","https://mgathermal.com/careers","Newcastle","Miscibility Gap Alloy (MGA) thermal energy storage blocks, industrial steam generation heat batteries, and thermal dispatch software, Newcastle NSW HQ","High"
"Forcite Helmet Systems","forcitehelmets.com","https://forcitehelmets.com/careers","Sydney","Smart motorcycle helmets, embedded micro-cameras, peripheral LED guidance displays, and computer vision firmware, Sydney NSW HQ","High"
"BlockTexx","blocktexx.com","https://blocktexx.com/careers","Logan","Chemical textile separation technology (S.E.P.T.), polyester and cotton recycling molecular breakdown, and circular supply chain SaaS, Loganholme QLD HQ","High"
"Pivot Maritime International","pivotmaritime.com","https://pivotmaritime.com/careers","Launceston","Maritime ship simulation software, full-mission virtual bridge training simulators, and marine hydrodynamics modelling, Legana / Launceston TAS HQ","High"
"Seafood Innovations","seafoodinnovations.com.au","https://seafoodinnovations.com.au/careers","Hobart","Automated aquaculture stun-bleed harvesting robotics, salmon processing equipment, and fish handling automation, Hobart TAS HQ","High"
"Marinova","marinova.com.au","https://marinova.com.au/careers","Hobart","Pure fucoidan marine biotechnology, cold-water extraction science, and pharmaceutical polysaccharide purification, Cambridge / Hobart TAS HQ","High"
"Blue Economy CRC Tech","blueeconomycrc.com.au","https://blueeconomycrc.com.au/careers","Launceston","Offshore aquaculture engineering, marine renewable energy platforms, and subsea autonomous monitoring, Launceston TAS HQ","High"
"Sea Forest","seaforest.com.au","https://seaforest.com.au/careers","Hobart","Commercial Asparagopsis sea farming, red seaweed bio-refining, and agricultural emissions reduction technology, Triabunna / Hobart TAS HQ","High"
"Quantum Brilliance","quantum-brilliance.com","https://quantum-brilliance.com/careers","Canberra","Diamond nitrogen-vacancy (NV) center quantum microprocessors, room-temperature quantum hardware, and quantum software emulators, Canberra ACT HQ","High"
"Diraq","diraq.com","https://diraq.com/careers","Sydney","Silicon CMOS quantum computing processor chips, spin qubits manufactured with existing semiconductor foundries, Sydney NSW HQ","High"
"Silicon Quantum Computing (SQC)","sqc.com.au","https://sqc.com.au/careers","Sydney","Atomic-scale precision manufacturing in silicon, phosphorus atom qubits in silicon, and quantum processing units, Sydney NSW HQ","High"
"BrainChip","brainchip.com","https://brainchip.com/careers","Perth","Neuromorphic ultra-low power edge AI processor semiconductor architecture (Akida), event-based neural networks, ASX:BRN, Perth WA HQ","High"
"Weebit Nano","weebit-nano.com","https://weebit-nano.com/careers","Melbourne","Resistive RAM (ReRAM) non-volatile semiconductor memory technology, neuromorphic computing memory cells, ASX:WBT, Melbourne VIC HQ","High"
"BluGlass","bluglass.com.au","https://bluglass.com.au/careers","Sydney","Remote Plasma Chemical Vapour Deposition (RPCVD) semiconductor gallium nitride (GaN) laser diodes, photonics hardware, ASX:BLG, Silverwater NSW HQ","High"
"4DS Memory","4dsmemory.com","https://4dsmemory.com/careers","Perth","Interface Switching ReRAM non-volatile semiconductor memory technology, storage class memory chips, ASX:4DS, Perth WA HQ","High"
"SunDrive Solar","sundrive.com","https://sundrive.com/careers","Sydney","Copper metallization photovoltaic solar cells, silver-replacement silicon solar wafer tech, and clean energy hardware, Kurnell / Sydney NSW HQ","High"
"RayGen","raygen.com","https://raygen.com/careers","Melbourne","Solar Power Plant concentrating PV towers, electro-thermal energy storage, and synchronous renewable power hardware, Melbourne VIC HQ","High"
"Kite Magnetics","kitemagnetics.com","https://kitemagnetics.com/careers","Melbourne","Aerocore electric aircraft motors, nanocrystalline magnetic alloys, and electric aviation propulsion hardware, Melbourne VIC HQ","High"
"Eden Brew","edenbrew.com.au","https://edenbrew.com.au/careers","Sydney","Precision fermentation dairy proteins, animal-free casein micelle biotech, and synthetic biology, Sydney NSW HQ","High"
"Rumin8","rumin8.com","https://rumin8.com/careers","Perth","Climate-tech feed additives from synthesized bromoform, enteric methane reduction for livestock, and clean agriculture biotech, Perth WA HQ","High"
"CH4 Global Australia","ch4global.com","https://ch4global.com/careers","Adelaide","Asparagopsis taxiformis red seaweed cultivation, methane-reducing livestock feed supplements, and ocean aquaculture processing, Adelaide SA HQ","High"
"Skyborne Technologies","skyborne.com.au","https://skyborne.com.au/careers","Brisbane","Armed tactical micro-UAV aerial robotics (Cerberus GL), tilt-rotor thrust vectoring, and autonomous targeting software, Brisbane QLD HQ","High"
"AeroPM","aeropm.net","https://aeropm.net/careers","Canberra","Defence aerospace engineering, flight test instrumentation, and sovereign weapons systems software, Canberra ACT HQ","High"
"Sentient Hubs","sentienthubs.com","https://sentienthubs.com/careers","Sydney","Multi-dimensional sustainability modeling, cloud environmental scenario analysis, and urban digital twin SaaS, Sydney NSW HQ","High"
"Stacked Farm","stackedfarm.com","https://stackedfarm.com/careers","Gold Coast","Fully automated end-to-end robotic vertical indoor farming, automated seeding and harvesting robotics, Burleigh Heads QLD HQ","High"
"Cortical Labs","corticallabs.com","https://corticallabs.com/careers","Melbourne","Synthetic biological intelligence, DishBrain neuron-silicon computing chips, and human brain cell biocomputers, Melbourne VIC HQ","High"
"Inventia Life Science","inventia.life","https://inventia.life/careers","Sydney","Rastrum 3D cell bioprinting hardware, automated high-throughput drug screening robotics, and tumor spheroid microfluidics, Sydney NSW HQ","High"
"3DMorphic","3dmorphic.com","https://3dmorphic.com/careers","Sydney","Patient-specific 3D printed titanium orthopaedic implants, automated CT segmentation algorithms, and surgical planning software, Sydney NSW HQ","High"
"Nutromics","nutromics.com.au","https://nutromics.com.au/careers","Melbourne","Lab-on-a-patch continuous molecular monitoring, microneedle diagnostic sensors, and real-time drug level telemetry, Melbourne VIC HQ","High"
"Ena Respiratory","enarespiratory.com","https://enarespiratory.com/careers","Melbourne","Synthetic innate immune system stimulants, pan-antiviral nasal sprays (INNA-051), and respiratory biotech, Melbourne VIC HQ","High"
"Telix Pharmaceuticals","telixpharma.com","https://telixpharma.com/careers","Melbourne","Targeted radiopharmaceuticals, radioligand cancer imaging, and molecular precision oncology therapies, ASX:TLX, Melbourne VIC HQ","High"
"Neuren Pharmaceuticals","neurenpharma.com","https://neurenpharma.com/careers","Melbourne","Neurodevelopmental disease therapeutics, neurotrophic factor analogues (trofinetide/DAYBUE), ASX:NEU, Melbourne VIC HQ","High"
"Archistar","archistar.ai","https://archistar.ai/careers","Sydney","Generative AI architectural design platform, automated council planning rule assessment algorithms, and 3D property feasibility SaaS, Sydney NSW HQ","High"
"Landchecker","landchecker.com.au","https://landchecker.com.au/careers","Melbourne","Property planning intelligence platform, interactive council zoning maps, and spatial permit search software, Melbourne VIC HQ","High"
"Stash Property","stashproperty.com.au","https://stashproperty.com.au/careers","Brisbane","Property development search engine, council town planning spatial overlays, and off-market property prospecting software, Brisbane QLD HQ","High"
"Ynomia","ynomia.io","https://ynomia.io/careers","Melbourne","IoT-enabled Bluetooth construction site materials tracking, 3D building spatial digital twins, and project progress telemetry, Melbourne VIC HQ","High"
"Tracksuit Australia","yourtracksuit.com","https://yourtracksuit.com/careers","Sydney","Affordable brand health tracking SaaS, automated market research polling, and real-time marketing ROI dashboards, Sydney NSW HQ","High"
"Pendula","pendula.com","https://pendula.com/careers","Sydney","Automated customer two-way conversational workflows, multi-channel retention messaging, and SMS/WhatsApp CRM integrations, Sydney NSW HQ","High"
"Equitise","equitise.com","https://equitise.com/careers","Sydney","Equity crowdfunding and investment syndication platform, automated investor verification, and secondary market trading software, Sydney NSW HQ","High"
"Monoova","monoova.com","https://monoova.com/careers","Sydney","Real-time payment automation APIs, New Payments Platform (NPP) PayTo rails, and automated reconciliation software, Sydney NSW HQ","High"
"Zai","hellozai.com","https://hellozai.com/careers","Melbourne","Embedded payments infrastructure, multi-party escrow workflows, and merchant payment gateway APIs, Melbourne VIC HQ","High"
"Till Payments","tillpayments.com","https://tillpayments.com/careers","Sydney","Unified omnichannel payment processing, point-of-sale terminal software, and merchant transaction switching APIs, Sydney NSW HQ","High"
"Pin Payments","pinpayments.com","https://pinpayments.com/careers","Melbourne","All-in-one payment processing gateway for Australian online business, multi-currency credit card processing SaaS, Melbourne VIC HQ","High"
"Fat Zebra","fatzebra.com","https://fatzebra.com/careers","Sydney","Tier-1 payment processing gateway, tokenized payment vault, and direct bank debit switching infrastructure, Sydney NSW HQ","High"
"Upworth","upworth.com.au","https://upworth.com.au/careers","Sydney","Automated net-worth tracking algorithms, mortgage refinance comparison, and open banking wealth management app, Sydney NSW HQ","High"
"Sherpa Delivery","sherpa.net.au","https://sherpa.net.au/careers","Sydney","Same-day crowdsourced courier delivery platform, automated courier matching algorithms, and last-mile dispatch SaaS, Sydney NSW HQ","High"
"DriveYello","driveyello.com","https://driveyello.com/careers","Sydney","Last-mile food delivery fleet management software, shift scheduling algorithms, and courier tracking SaaS, Sydney NSW HQ","High"
"Humanforce","humanforce.com","https://humanforce.com/careers","Sydney","Frontline workforce management, intelligent shift scheduling algorithms, time & attendance compliance SaaS, Sydney NSW HQ","High"
"Roubler","roubler.com","https://roubler.com/careers","Brisbane","All-in-one workforce management software, shift rostering algorithms, and integrated payroll processing SaaS, Brisbane QLD HQ","High"
"Tanda","tanda.co","https://tanda.co/careers","Brisbane","Workforce management software, Fair Work modern award interpretation engine, and employee attendance time clocks, Brisbane QLD HQ","High"
"Ento","ento.com","https://ento.com/careers","Melbourne","Cloud rostering, shift bidding algorithms, facial recognition attendance time clocks, and labour demand forecasting SaaS, Melbourne VIC HQ","High"
"FoundU","foundu.com.au","https://foundu.com.au/careers","Brisbane","Unified workforce management, automated award interpretation engine, onboarding, and payroll processing platform, Brisbane QLD HQ","High"
"HungryHungry","hungryhungry.com","https://hungryhungry.com/careers","Melbourne","Digital at-table mobile ordering platform, QR code ordering menus, and contactless payment software for hospitality, Melbourne VIC HQ","High"
"EatClub","eatclub.com.au","https://eatclub.com.au/careers","Melbourne","Dynamic off-peak dining restaurant yield management platform, real-time discount marketplace algorithms, and restaurant discovery app, Melbourne VIC HQ","High"
"Hey You","heyyou.com.au","https://heyyou.com.au/careers","Sydney","Mobile coffee and food pre-ordering app, queue-jumping digital loyalty platform, and local café payment processing SaaS, Sydney NSW HQ","High"
"Cake Equity","cakeequity.com","https://cakeequity.com/careers","Gold Coast","Startup cap table management, employee share option plan (ESOP) automation, and capital raising workflows, Gold Coast QLD HQ","High"
"Ignition","ignitionapp.com","https://ignitionapp.com/careers","Sydney","Client engagement and automated billing platform for accounting and professional services firms, proposal workflows SaaS, Sydney NSW HQ","High"
"AirRobe","airrobe.com","https://airrobe.com/careers","Melbourne","Circular fashion economy software, digital wardrobe widget, and automated resale marketplace SaaS, Melbourne VIC HQ","High"
"Immutep","immutep.com","https://immutep.com/careers","Sydney","Lymphocyte Activation Gene-3 (LAG-3) immunotherapy antibodies, immuno-oncology clinical development, ASX:IMM, Sydney NSW HQ","High"
"Clipboard","clipboard.app","https://clipboard.app/careers","Sydney","Extracurricular activity management platform for schools, student scheduling algorithms, and sports fixture SaaS, Sydney NSW HQ","High"
