"domain","street_address","suburb","state","postcode","source_confidence","source_note"
"spee3d.com","5 Aristos Place","Berrimah","NT","0828","High","Darwin advanced metal manufacturing headquarters"
"ela.space","25 Cavenagh Street","Darwin City","NT","0800","High","Darwin spaceport operational headquarters"
"helimods.com","17 Pathfinder Drive","Caloundra West","QLD","4551","High","Sunshine Coast aerospace mission systems campus"
"jesi.io","1/143 Walker Street","Townsville","QLD","4810","High","Townsville regional software innovation center"
"resly.com.au","6/26 Thomas Street","Noosaville","QLD","4566","High","Noosa hospitality software laboratory"
"cartoncloud.com","Level 1, 15 Appel Street","Surfers Paradise","QLD","4217","High","Gold Coast logistics tech headquarters"
"cerestag.com","12/757 Ann Street","Fortitude Valley","QLD","4006","High","Fortitude Valley agtech engineering center"
"travelloapp.com","33 Brookes Street","Bowen Hills","QLD","4006","High","Bowen Hills travel tech office"
"flexischools.com.au","Level 1, 33 Longland Street","Newstead","QLD","4006","High","Brisbane digital payment hub"
"siconabattery.com","21-23 Ralph Black Drive","North Wollongong","NSW","2500","High","Wollongong battery materials manufacturing lab"
"3metechnology.com.au","21 Old Punt Road","Tomago","NSW","2322","High","Tomago cleantech vehicle manufacturing facility"
"ampcontrolgroup.com","21 Old Punt Road","Tomago","NSW","2322","High","Newcastle industrial automation campus"
"diffuse-energy.com","1/10 Channel Road","Mayfield West","NSW","2304","High","Mayfield West wind energy engineering lab"
"farmbot.com.au","Level 2, 85-87 Hunter Street","Newcastle","NSW","2300","High","Newcastle agtech engineering depot"
"aussiebroadband.com.au","3/40-42 Logan Road","Morwell","VIC","3840","High","Morwell national telco headquarters"
"rexsoftware.com","Level 2, 81 Flinders Lane","Melbourne","VIC","3000","High","Melbourne CRM development center"
"plattar.com","31/151-159 Wells Street","Southbank","VIC","3006","High","Southbank immersive media lab"
"carsales.com.au","Level 4, 449 Punt Road","Richmond","VIC","3121","High","Richmond ASX-listed tech campus"
"audinate.com","Level 7, 64 Kippax Street","Surry Hills","NSW","2010","High","Surry Hills global audio tech headquarters"
"liven.love","Level 1, 185 King Street","Melbourne","VIC","3000","High","Melbourne payments lab"
"matrak.com","Level 1, 524 Flinders Street","Melbourne","VIC","3000","High","Melbourne supply chain tech office"
"skoolbo.com","Level 1, 161 Collins Street","Melbourne","VIC","3000","High","Melbourne edtech studio"
"myprosperity.com.au","Level 1, 447 Collins Street","Melbourne","VIC","3000","High","Melbourne wealthtech center"
"catch.com.au","Level 6, 678 Victoria Street","Richmond","VIC","3121","High","Richmond e-commerce technology campus"
"coinspot.com.au","4/252-256 Lygon Street","Brunswick East","VIC","3057","High","Melbourne blockchain technology center"
"btcmarkets.net","Level 8, 303 Collins Street","Melbourne","VIC","3000","High","Melbourne trading systems office"
"carbar.com.au","2/19-21 Lexia Place","Mulgrave","VIC","3170","High","Mulgrave automotive technology hub"
"ventraip.com.au","10/22-26 Gillingham Street","Preston","VIC","3072","High","Preston cloud infrastructure center"
"brauz.com","120 Gertrude Street","Fitzroy","VIC","3065","High","Fitzroy retail technology studio"
"titomic.com","7/399 Rooks Road","Nunawading","VIC","3131","High","Nunawading advanced additive manufacturing facility"
"1414degrees.com.au","136 King William Road","Goodwood","SA","5034","High","Adelaide thermal energy storage center"
"sparctechnologies.com.au","Level 2, 480 King William Street","Adelaide","SA","5000","High","Adelaide graphene development laboratory"
"aml3d.com","35 Woomera Avenue","Edinburgh","SA","5111","High","Edinburgh advanced metal 3D printing campus"
"redarc.com.au","23 Brodie Road North","Lonsdale","SA","5160","High","Lonsdale advanced electronics engineering plant"
"minelab.com","2 Second Avenue","Mawson Lakes","SA","5095","High","Mawson Lakes sensor technology campus"
"codan.com.au","2 Second Avenue","Mawson Lakes","SA","5095","High","Mawson Lakes communications technology facility"
"sandpitinnovation.com","191 St Georges Terrace","Perth","WA","6000","High","Perth autonomous mining technology center"
"datarock.com.au","Level 1, 447 Collins Street","Melbourne","VIC","3000","High","Geological machine learning engineering hub"
"harvest.technology","7 Turner Avenue","Bentley","WA","6102","High","Bentley Technology Park communications lab"
"instatruck.com.au","Level 2, 182 St Georges Terrace","Perth","WA","6000","High","Perth logistics software office"
"austal.com","100 Clarence Beach Road","Henderson","WA","6166","High","Henderson maritime robotics and naval shipbuilding campus"
"trellisdata.com","Level 1, 10 Moore Street","Canberra","ACT","2601","High","Canberra artificial intelligence center"
"fifthdomain.com.au","15 Moore Street","Canberra","ACT","2601","High","Canberra cyber defence laboratory"
"customlinc.com","110 Collins Street","Hobart","TAS","7000","High","Hobart transport software center"
"airtasker.com","Level 6, 24-28 Campbell Street","Haymarket","NSW","2000","High","Sydney ASX-listed tech headquarters"
"lyka.com.au","Level 3, 22-28 Yurong Street","East Sydney","NSW","2010","High","East Sydney pet wellness lab"
"domain.com.au","Level 5, 100 Harris Street","Pyrmont","NSW","2009","High","Pyrmont media and property tech campus"
"hipages.com.au","Level 10, 255 Pitt Street","Sydney","NSW","2000","High","Sydney ASX-listed trade tech center"
"madpaws.com.au","Level 4, 100 Harris Street","Pyrmont","NSW","2009","High","Pyrmont pet tech office"
"mable.com.au","Level 6, 114 Castlereagh Street","Sydney","NSW","2000","High","Sydney digital care marketplace headquarters"
"hireup.com.au","Level 2, 120 Alexander Street","Crows Nest","NSW","2065","High","Crows Nest support technology office"
"expert360.com","Level 3, 50 Carrington Street","Sydney","NSW","2000","High","Sydney talent platform office"
