name,domain,city,status,pages_checked,address_candidates,next_action
Canstar,canstar.com.au,Brisbane,no_candidate_found,https://www.canstar.com.au/ | https://www.canstar.com.au/contact | https://www.canstar.com.au/contact-us | https://www.canstar.com.au/locations | https://www.canstar.com.au/support,,Verify candidate text on the cited first-party page before geocoding.
Marketplacer,marketplacer.com,Melbourne,no_candidate_found,https://marketplacer.com/ | https://marketplacer.com/contact-sales/ | https://marketplacer.com/locations | https://marketplacer.com/support,,Verify candidate text on the cited first-party page before geocoding.
PropTrack,proptrack.com.au,Melbourne,address_candidate_needs_verification,https://www.proptrack.com.au/ | https://www.proptrack.com.au/contact/ | https://www.proptrack.com.au/contact-us/ | https://www.proptrack.com.au/locations/ | https://www.proptrack.com.au/support/contact-support/,"309 Kent Street, Sydney NSW | 511 Church Street, Richmond, VIC 3121",Verify candidate text on the cited first-party page before geocoding.
Butn,butn.com.au,Sydney,address_candidate_needs_verification,https://www.butn.co/ | https://www.butn.co/contact | https://www.butn.co/contact-us | https://www.butn.co/locations | https://www.butn.co/support,23 William St Balaclava VIC 3183,Verify candidate text on the cited first-party page before geocoding.
Hivery,hivery.com,Sydney,address_candidate_needs_verification,https://www.hivery.com/ | https://www.hivery.com/contact/ | https://www.hivery.com/contact-us/ | https://www.hivery.com/locations/ | https://www.hivery.com/support/,2 Park Street Sydney NSW 2000,Verify candidate text on the cited first-party page before geocoding.
Euclideon,euclideon.com,Brisbane,no_candidate_found,https://www.euclideon.com/ | https://www.euclideon.com/contact | https://www.euclideon.com/contact-us | https://www.euclideon.com/locations | https://www.euclideon.com/support,,Verify candidate text on the cited first-party page before geocoding.
Tether,tether.io,Sydney,no_candidate_found,https://tether.io/ | https://tether.io/contact | https://tether.io/contact-us | https://tether.io/locations | https://tether.io/support,,Verify candidate text on the cited first-party page before geocoding.
Tillpoint,tillpoint.com,Sydney,no_candidate_found,https://www.tillpoint.com/,,Verify candidate text on the cited first-party page before geocoding.
Greener,greener.com.au,Brisbane,address_candidate_needs_verification,https://www.greener.com.au/ | https://www.greener.com.au/contact | https://www.greener.com.au/about#contact | https://www.greener.com.au/locations | https://www.greener.com.au/support,"180 George St, Sydney NSW 2000",Verify candidate text on the cited first-party page before geocoding.
Raygun,raygun.com,Wellington,no_candidate_found,https://raygun.com/ | https://raygun.com/contact | https://raygun.com/contact-us | https://raygun.com/locations | https://raygun.com/support,,Verify candidate text on the cited first-party page before geocoding.
