name,domain,city,harvest_status,source_url,http_status,page_title,meta_description,diagnostic,next_action
Canstar,canstar.com.au,Brisbane,metadata_captured_needs_human_assessment,https://www.canstar.com.au/,200,"Canstar - Compare Insurance, Loans, Credit Cards & More",,,Assess this primary-source metadata before creating a seed fixture.
Marketplacer,marketplacer.com,Melbourne,metadata_captured_needs_human_assessment,https://marketplacer.com,200,"Marketplacer: Build, Scale, And Grow Your Marketplace",,,Assess this primary-source metadata before creating a seed fixture.
PropTrack,proptrack.com.au,Melbourne,metadata_captured_needs_human_assessment,https://www.proptrack.com.au/,200,Home - PropTrack,"Empower your organisation with the most effective market insights available today. PropTrack gives your business the edge through unique insights, effective market intelligence, automated and accurate valuations, and comprehensive data solutions.",,Assess this primary-source metadata before creating a seed fixture.
Butn,butn.com.au,Sydney,metadata_captured_needs_human_assessment,https://www.butn.co/,200,Butn - Embedded Invoice Finance Solutions / Business Finance For Australian Businesses.,"Butn is reinventing the way Australian cashﬂow finance works in business with simple, secure and instant finance solutions for every business need.",,Assess this primary-source metadata before creating a seed fixture.
Hivery,hivery.com,Sydney,metadata_captured_needs_human_assessment,https://www.hivery.com/,200,HIVERY: AI-driven retail optimization. Data Has A Better Idea™ | HIVERY Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow X,HIVERY offers advanced analytics for optimizing retail assortment strategies. HIVERY uses cutting-edge AI algorithms to empower retailers and CPG brands.,,Assess this primary-source metadata before creating a seed fixture.
Euclideon,euclideon.com,Brisbane,metadata_captured_needs_human_assessment,https://www.euclideon.com/,200,404 - Page Not Found | Euclideon,The page you are looking for could not be found on Euclideon.,,Assess this primary-source metadata before creating a seed fixture.
Tether,tether.io,Sydney,metadata_captured_needs_human_assessment,https://tether.io,200,Tether | The Stable Company,"A decentralised, open, sustainable future starts here, with the technology Tether supports and creates, for us all.",,Assess this primary-source metadata before creating a seed fixture.
Tillpoint,tillpoint.com,Sydney,metadata_captured_needs_human_assessment,https://www.tillpoint.com/,200,"tillpoint - ""Streamline Transactions, Elevate Your Business.""","""Streamline Transactions, Elevate Your Business.""",,Assess this primary-source metadata before creating a seed fixture.
FlexiGroup,flexigroup.com.au,Sydney,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Greener,greener.com.au,Brisbane,metadata_captured_needs_human_assessment,https://www.greener.com.au/,200,Mandatory Climate Reporting Software Australia | Best Carbon Accounting Software Australia,"Mandatory Climate Reporting Australia made easy with Greener. Our carbon accounting software simplifies compliance, carbon reporting, and Scope 3 emissions tracking, providing audit-ready evidence and AASB S2 compliance in weeks, not months.",,Assess this primary-source metadata before creating a seed fixture.
Raygun,raygun.com,Wellington,metadata_captured_needs_human_assessment,https://raygun.com,200,Raygun - Application Monitoring For Web & Mobile Apps,"Raygun gives you a window into how users are really experiencing your software applications. Detect, diagnose and resolve issues that are affecting end users.",,Assess this primary-source metadata before creating a seed fixture.
Creditor Watch,creditorwatch.com.au,Sydney,metadata_captured_needs_human_assessment,https://creditorwatch.com.au,200,Australia's Leading Commercial Credit Reporting Platform | CreditorWatch,"CreditorWatch helps you onboard quickly, manage credit decisions effectively and safeguard your cash flow.",,Assess this primary-source metadata before creating a seed fixture.
Joust,joust.com.au,Adelaide,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Intellicheck,intellicheck.com.au,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Assembly Payments,assemblypayments.com,Melbourne,metadata_captured_needs_human_assessment,https://www.hellozai.com/,200,Zai | Complex Online Payments Made Simple,Complex payment solutions for businesses with all-in-one payment processing and workflow automation to simplify and scale operations.,,Assess this primary-source metadata before creating a seed fixture.
Octane AI,octaneai.com,Sydney,metadata_captured_needs_human_assessment,https://octaneai.com,200,Octane AI - #1 Product Quiz Platform for Shopify | AI-Powered Recommendations,"Create personalized product quizzes that convert browsers into buyers. AI-powered recommendations, Klaviyo integration, 42% email opt-in rates. Trusted by Jones Road Beauty, ILIA & 5,000+ Shopify stores.",,Assess this primary-source metadata before creating a seed fixture.
Propeller Aero,propelleraero.com,Sydney,metadata_captured_needs_human_assessment,https://www.propelleraero.com/,200,Drone Mapping & 3D Construction Data Analytics | Propeller Aero,Explore smart surveys for earthworks and enhance your project efficiency with unified mapping and innovative analytics tools.,,Assess this primary-source metadata before creating a seed fixture.
Nura,nura.com,Melbourne,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
