name,domain,city,reachability_status,http_status,final_url,diagnostic,next_action
Canstar,canstar.com.au,Brisbane,reachable_needs_primary_evidence,200,https://www.canstar.com.au/,,"Record first-party company, technology, and street-address evidence."
Marketplacer,marketplacer.com,Melbourne,reachable_needs_primary_evidence,200,https://marketplacer.com,,"Record first-party company, technology, and street-address evidence."
PropTrack,proptrack.com.au,Melbourne,reachable_needs_primary_evidence,200,https://www.proptrack.com.au/,,"Record first-party company, technology, and street-address evidence."
Butn,butn.com.au,Sydney,reachable_needs_primary_evidence,200,https://www.butn.co/,,"Record first-party company, technology, and street-address evidence."
Hivery,hivery.com,Sydney,reachable_needs_primary_evidence,200,https://www.hivery.com/,,"Record first-party company, technology, and street-address evidence."
Euclideon,euclideon.com,Brisbane,reachable_needs_primary_evidence,200,https://www.euclideon.com/,,"Record first-party company, technology, and street-address evidence."
Tether,tether.io,Sydney,reachable_needs_primary_evidence,200,https://tether.io,,"Record first-party company, technology, and street-address evidence."
Tillpoint,tillpoint.com,Sydney,reachable_needs_primary_evidence,200,https://www.tillpoint.com/,,"Record first-party company, technology, and street-address evidence."
FlexiGroup,flexigroup.com.au,Sydney,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Greener,greener.com.au,Brisbane,reachable_needs_primary_evidence,200,https://www.greener.com.au/,,"Record first-party company, technology, and street-address evidence."
Raygun,raygun.com,Wellington,reachable_needs_primary_evidence,200,https://raygun.com,,"Record first-party company, technology, and street-address evidence."
Creditor Watch,creditorwatch.com.au,Sydney,reachable_needs_primary_evidence,200,https://creditorwatch.com.au,,"Record first-party company, technology, and street-address evidence."
Joust,joust.com.au,Adelaide,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Intellicheck,intellicheck.com.au,Melbourne,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Assembly Payments,assemblypayments.com,Melbourne,reachable_needs_primary_evidence,200,https://www.hellozai.com/,,"Record first-party company, technology, and street-address evidence."
Octane AI,octaneai.com,Sydney,reachable_needs_primary_evidence,200,https://octaneai.com,,"Record first-party company, technology, and street-address evidence."
Propeller Aero,propelleraero.com,Sydney,reachable_needs_primary_evidence,200,https://www.propelleraero.com/,,"Record first-party company, technology, and street-address evidence."
Nura,nura.com,Melbourne,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Judo Bank,judo.bank,Melbourne,reachable_needs_primary_evidence,403,https://www.judo.bank:443/,HTTP 403,"Record first-party company, technology, and street-address evidence."
Hatch,hatch.team,Melbourne,reachable_needs_primary_evidence,200,https://hatch.team,,"Record first-party company, technology, and street-address evidence."
Partly,partly.com,Sydney,reachable_needs_primary_evidence,200,https://www.partly.com/,,"Record first-party company, technology, and street-address evidence."
Neighbourlytics,neighbourlytics.com,Melbourne,reachable_needs_primary_evidence,200,https://www.neighbourlytics.com/,,"Record first-party company, technology, and street-address evidence."
AutoGuru,autoguru.com.au,Brisbane,reachable_needs_primary_evidence,200,https://www.autoguru.com.au:443/,,"Record first-party company, technology, and street-address evidence."
Skyfii,skyfii.com,Sydney,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Rezdy,rezdy.com,Sydney,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Laing O Rourke Digital,laingorourke.com,Sydney,reachable_needs_primary_evidence,200,https://www.laingorourke.com/,,"Record first-party company, technology, and street-address evidence."
Intersective,intersective.com,Sydney,reachable_needs_primary_evidence,200,https://practera.com/,,"Record first-party company, technology, and street-address evidence."
Academy Xi,academyxi.com,Sydney,reachable_needs_primary_evidence,200,https://academyxi.com,,"Record first-party company, technology, and street-address evidence."
Pathzero,pathzero.com,Sydney,reachable_needs_primary_evidence,200,https://pathzero.com,,"Record first-party company, technology, and street-address evidence."
Sievert Larsen,sievertlarsen.com,Perth,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Hydronautics,hydronautics.com.au,Fremantle,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Aeeris,aeeris.com,Sydney,reachable_needs_primary_evidence,200,https://www.aeeris.com/,,"Record first-party company, technology, and street-address evidence."
Aerologix,aerologix.com,Brisbane,reachable_needs_primary_evidence,202,https://aerologix.com,,"Record first-party company, technology, and street-address evidence."
Stax,stax.io,Sydney,reachable_needs_primary_evidence,200,https://versent.com.au/modern-run/versent-landing-zone/,,"Record first-party company, technology, and street-address evidence."
Sonder,sonder.com.au,Sydney,reachable_needs_primary_evidence,200,https://sonder.com.au,,"Record first-party company, technology, and street-address evidence."
