name,domain,city,reachability_status,http_status,final_url,diagnostic,next_action
HiveUAV,hiveuav.com,Newcastle,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Devicie,devicie.com,Sydney,reachable_needs_primary_evidence,200,https://devicie.com,,"Record first-party company, technology, and street-address evidence."
Precision Agriculture Australia,precisionagriculture.com.au,Orange,reachable_needs_primary_evidence,200,https://precisionag.earth/,,"Record first-party company, technology, and street-address evidence."
Farmdeck,farmdeck.com,Orange,reachable_needs_primary_evidence,200,https://www.farmdeck.com:443/,,"Record first-party company, technology, and street-address evidence."
AgDNA,agdna.com,Dubbo,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Kurrajong Tech,kurrajong.com.au,Wagga Wagga,reachable_needs_primary_evidence,200,https://www.kurrajong.com.au/,,"Record first-party company, technology, and street-address evidence."
AgriFutures Australia Tech,agrifutures.com.au,Wagga Wagga,reachable_needs_primary_evidence,200,https://agrifutures.com.au,,"Record first-party company, technology, and street-address evidence."
Flow Hive Tech,honeyflow.com.au,Byron Bay,reachable_needs_primary_evidence,200,https://www.honeyflow.com.au/,,"Record first-party company, technology, and street-address evidence."
SMART Farm UNE,smartfarmune.com.au,Armidale,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Precision Pastures,precisionpastures.com.au,Armidale,reachable_needs_primary_evidence,200,https://www.precisionpastures.com.au/,,"Record first-party company, technology, and street-address evidence."
BeefLedger,beefledger.io,Tamworth,reachable_needs_primary_evidence,200,https://beefledger.io,,"Record first-party company, technology, and street-address evidence."
Agile Digital,agiledigital.com.au,Canberra,reachable_needs_primary_evidence,200,https://agiledigital.com.au,,"Record first-party company, technology, and street-address evidence."
Noetic Group Tech,noeticgroup.com,Canberra,reachable_needs_primary_evidence,200,https://atturra.com/au-en/solutions/advisory-consulting/,,"Record first-party company, technology, and street-address evidence."
CEA Technologies,cea.com.au,Canberra,reachable_needs_primary_evidence,200,https://www.cea.com.au/,,"Record first-party company, technology, and street-address evidence."
Koala Tech,koala.com,Sydney,reachable_needs_primary_evidence,200,https://au.koala.com/,,"Record first-party company, technology, and street-address evidence."
Forter Australia,forter.com,Sydney,reachable_needs_primary_evidence,200,https://www.forter.com/,,"Record first-party company, technology, and street-address evidence."
Smart Cities IoT Australia,smartcitiesiot.com.au,Wollongong,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Me3D,me3d.com.au,Wollongong,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Outpost Central,outpostcentral.com,Newcastle,reachable_needs_primary_evidence,200,https://outpostcentral.com,,"Record first-party company, technology, and street-address evidence."
Geolyse Tech,geolyse.com,Orange,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
SproutX Regional Tech,sproutx.com.au,Albury,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Southern Riverina IoT,southernriverinaiot.com.au,Deniliquin,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Subzero Robotics,subzerorobotics.com.au,Coffs Harbour,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Sol-Secure,sol-secure.com.au,Port Macquarie,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Livestock Water Solutions,livestockwatersolutions.com.au,Moree,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Hunter Hydrogen Tech,hunterhydrogentech.com.au,Newcastle,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Hypersense Software,hypersensesoftware.com.au,Newcastle,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Central West Solar IoT,centralwestsolar.com.au,Bathurst,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Murray Irrigation Tech,murrayirrigation.com.au,Finley,reachable_needs_primary_evidence,200,https://www.murrayirrigation.com.au/,,"Record first-party company, technology, and street-address evidence."
Ballina Cloud Systems,ballinacloud.com.au,Ballina,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Fologram,fologram.com,Melbourne,reachable_needs_primary_evidence,200,https://fologram.com,,"Record first-party company, technology, and street-address evidence."
FormFlow,formflow.com.au,Geelong,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Keech 3D Advanced Manufacturing,keech3d.com.au,Bendigo,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Bendigo Telco Tech,bendigotelco.com.au,Bendigo,reachable_needs_primary_evidence,200,https://bendigotelco.com.au,,"Record first-party company, technology, and street-address evidence."
Cogent,cogent.co,Melbourne,unreachable_needs_manual_review,,,URLError,Check the claimed domain against an authoritative company source before seeding.
Moula Money,moula.com.au,Melbourne,reachable_needs_primary_evidence,200,https://moula.com.au,,"Record first-party company, technology, and street-address evidence."
Pepperstone,pepperstone.com,Melbourne,reachable_needs_primary_evidence,200,https://pepperstone.com/en-au,,"Record first-party company, technology, and street-address evidence."
Sportsbet Tech,sportsbet.com.au,Melbourne,reachable_needs_primary_evidence,200,https://www.sportsbet.com.au/,,"Record first-party company, technology, and street-address evidence."
Openpay Tech,openpay.com.au,Melbourne,reachable_needs_primary_evidence,200,https://pay.com.au/,,"Record first-party company, technology, and street-address evidence."
TradeSquare,tradesquare.com.au,Melbourne,reachable_needs_primary_evidence,200,https://www.tradesquare.com.au/,,"Record first-party company, technology, and street-address evidence."
Versent,versent.com.au,Melbourne,reachable_needs_primary_evidence,200,https://versent.com.au,,"Record first-party company, technology, and street-address evidence."
Austeng Tech,austeng.net.au,Geelong,reachable_needs_primary_evidence,200,https://austeng.net.au,,"Record first-party company, technology, and street-address evidence."
