name,domain,careers_url,city,reason,confidence,source_url,technology_rationale
Phocas Software,phocassoftware.com,https://phocassoftware.com/careers,Melbourne,"Business intelligence and analytics platform for manufacturers and distributors, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.phocassoftware.com/,"Phocas Software | Business Intelligence & Financial Analysis Software Phocas Software FP&A tools that combines BI, Financial Reporting, Planning, Budgeting & Forecasting. Understand the past, operate better today, and plan for the future."
Ipscape,ipscape.com,https://ipscape.com/careers,Sydney,"Cloud contact centre platform with intelligent routing and CRM integration, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://ipscape.com,"Australia's Leading Cloud Contact Centre Solution | IPscape Elevate customer experiences with SCAPE. Discover our AI omni-channel contact centre solution, with seamless integrations capabilities."
Reejig,reejig.com,https://reejig.com/careers,Sydney,"AI workforce intelligence and internal mobility platform for enterprise, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.reejig.com/,"The Work Operating System for AI-powered work | Reejig The Work Operating System for AI-powered work. See how work runs, build AI workflows, orchestrate agents, and drive adoption at enterprise scale. Book a demo."
Transurban Digital,transurban.com,https://transurban.com/careers,Melbourne,"Tolling technology and smart motorway data analytics for urban highways, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.transurban.com/,"Transurban: Be the link between people, places and progress As one of the world’s largest toll-road operators, everything we do works to get people where they want to go, as quickly and safely as possible – from designing and building new roads to researching new vehicle and road safety technology."
Credabl,credabl.com.au,https://credabl.com.au/careers,Sydney,"Medical equipment finance and practice lending for healthcare professionals, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.credabl.com.au/,"Specialist Loans for Doctors, Dentists & Vets | Credabl Looking for a business loan, medical practice funding or a personal loan? Credabl, a specialist lender providing quick and easy loans for medical professionals."
Nookal,nookal.com,https://nookal.com/careers,Brisbane,"Practice management and appointment scheduling for allied health, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.nookal.com/,"Nookal - Practice Management Software for Allied Health Clinics Practice management software to help practitioners manage appointments and bookings in their diary, patient clinical data and measure business performance."
Planit Testing,planittesting.com,https://planittesting.com/careers,Melbourne,"Software quality assurance and test automation consultancy, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.planit.com/,"Software Testing & Quality Engineering Services - Planit Our solutions don’t just fix problems—they shatter limits, redefining what’s possible in digital transformation through the unstoppable force of quality"
CEVO,cevo.com.au,https://cevo.com.au/careers,Melbourne,"Cloud and platform engineering consultancy focused on AWS and Kubernetes, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://cevo.com.au,"AWS Premier Consulting Partner for AI, Data & Cloud | Cevo Build the capability to continuously evolve with AI, data and cloud solutions from AWS Premier Partner Cevo."
Bugwolf,bugwolf.com,https://bugwolf.com/careers,Adelaide,"Crowdsourced software testing and bug discovery platform, Adelaide SA HQ",Medium - first-party homepage metadata captured,https://bugwolf.com,"Enterprise UAT Testing Services for Confident Go-Lives | Bugwolf Independent user acceptance testing for enterprise software. Bugwolf validates real business workflows, finds release risk, and delivers evidence for go-live."
Biarri Networks,biarri.com,https://biarri.com/careers,Melbourne,"Network design and fibre rollout optimisation software for telcos, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://biarri.com,"Biarri LEARN MORE → We bring unmatched efficiency to your operational planning, scheduling and rostering through our bespoke optimisation software."
Spaceship,spaceship.com.au,https://spaceship.com.au/careers,Sydney,"Micro-investing app and superannuation fund targeting millennial investors, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.spaceship.com.au:443/,"Spaceship — Investing, made easy, for everyone Join thousands of Australians investing in their future with Spaceship. Grow your wealth with our investment and super accounts. Start in five minutes."
Coles Digital,colesgroup.com.au,https://colesgroup.com.au/careers,Melbourne,"Retail technology and e-commerce engineering for Coles supermarkets, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.colesgroup.com.au/home/,"Coles Group | A trusted retailer, delivering quality value and service"
Tella,tella.tv,https://tella.tv/careers,Melbourne,"Screen recording and async video communication tool for remote teams, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.tella.com/,"Tella | All-in-One Screen Recorder for Mac, Windows & Chrome Tella is screen recording software for Mac, Windows, and the web. Record your screen, camera, microphone, and system audio, edit with AI, then share or export in up to 4K."
Sighthound AU,sighthound.com,https://sighthound.com/careers,Melbourne,"Video analytics AI for vehicle detection and licence plate recognition, Melbourne VIC AU office",Medium - first-party homepage metadata captured,https://www.sighthound.com/,"AI Redaction, LPR & Edge Compute Hardware | Sighthound Sighthound uses advanced computer vision to build AI redaction software, license plate recognition, vehicle analytics, and edge-ready compute hardware for law enforcement, smart surveillance, and enterprise video privacy."
Thinkmill,thinkmill.com.au,https://thinkmill.com.au/careers,Sydney,"Open-source product development studio behind KeystoneJS and Keystatic, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.thinkmill.com.au/,"Thinkmill – Software design & engineering consultancy, Sydney Thinkmill logo Infinex Logo Thinkmill is a Sydney-based software design and engineering consultancy. We build design systems for Atlassian and the Australian Government; we’re the creators of Keystone and Changesets."
Swoop Aero,swoop.aero,https://swoop.aero/careers,Melbourne,"Autonomous drone logistics and medical supply delivery for remote communities, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://kite.aero/,"Autonomous BVLOS Drones for Logistics | Kite Aero Kite Aero builds KITE, the long-range autonomous drone for BVLOS operations. Proven capability for medical, humanitarian and mapping missions, powered by AXIOM."
Tiliter,tiliter.com,https://tiliter.com/careers,Sydney,"AI self-checkout product recognition for fresh produce at supermarket POS, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.tiliter.com/,"AI Image Verification Workflows | Tiliter Build AI verification workflows with Tiliter Vision Agents: assign checks, capture photo evidence on web or mobile, and verify every submission."
Tanka,tanka.ai,https://tanka.ai/careers,Melbourne,"AI email composition and meeting preparation assistant for business communication, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.tanka.ai/,Tanka | The Operating Base for AI-Native Companies Tanka is the operating base for the AI-Native era. We strip away the long narrative of execution to preserve the high-density signature of human intent within a sea of automation.
Locofy,locofyai.com,https://locofyai.com/careers,Perth,"AI website performance tool using AMP and Core Web Vitals optimisation, Perth WA HQ",Medium - first-party homepage metadata captured,https://locofyai.com,Defining Future Brands | WE.DOMAINS Premium domain acquisition opportunity via WE.DOMAINS.
Hnry,hnry.com.au,https://hnry.com.au/careers,Sydney,"Automated tax and GST filing for Australian freelancers and sole traders, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://hnry.com.au,"Hnry | Tax for sole traders | Never think about tax again™ Hnry is Australia's largest accounting service for sole traders, making sure they never have to think about tax again."
Barcats,barcats.com.au,https://barcats.com.au/careers,Melbourne,"Hospitality staffing marketplace connecting venues with casual bar and kitchen staff, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.barcats.com.au/,"Barcats | Australia's #1 Hospitality Jobs & Community Join 220,000+ hospitality staff on Australia's largest community. Find bar, restaurant & hotel jobs fast. Free training, events & industry news."
Wiise,wiise.com,https://wiise.com/careers,Melbourne,"ERP for Australian SMEs built on Microsoft Business Central, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.wiise.com/,"Wiise - ERP for Australian Businesses | Powered by Business Central Scalable ERP software made to fit ANZ Businesses. Manage finances, payroll, inventory, manufacturing and more, in one system. Powered by Business Central"
TalentVine,talentvine.com.au,https://talentvine.com.au/careers,Melbourne,"Recruiter marketplace where employers submit briefs and agencies compete, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.talentvine.com.au/,Find & Compare Specialist Recruitment Agencies | TalentVine Australian businesses like yours use TalentVine to find and engage specialist recruitment consultants at competitive fees and terms.
Proda,proda.ai,https://proda.ai/careers,Sydney,"AI-powered real estate rent roll data extraction and normalisation for lenders, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://proda.ai,"Commercial real estate software - PRODA Get automated, standardized, error-checked rent roll data in no time – any format, asset class, language or currency. Try PRODA for free."
Prospection,prospection.com,https://prospection.com/careers,Sydney,"Pharmaceutical market analytics and prescriber targeting using claims data, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.prospection.com/,Prospection | Uplift Care-and-Share Helping pharmaceutical brand teams unlock patient-centric intelligence to drive better patient care outcomes and capture market share opportunities.
Acredia,acredia.com.au,https://acredia.com.au/careers,Sydney,"Trade credit insurance digital distribution and underwriting platform, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://acredia.au/,"Acredia | Seamless Compliance, Elevated Care Acredia empowers aged care providers with an innovative platform designed to enhance compliance and improve quality of care."
Meld Gold,meld.gold,https://meld.gold/careers,Sydney,"Gold bullion tokenisation and physical-digital settlement platform, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.meld.gold/,Meld Gold The future of digital gold
Moshi,moshi.ai,https://moshi.ai/careers,Melbourne,"Sleeptime audio stories and wellness content subscription for children, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://moshi.ai,Moshi | Transform your ads into conversations that convert Instagram Facebook Instagram Moshi is a conversational AI sales agent. Every click opens a DM that sells and follows up while you sleep.
Kambr,kambr.com,https://kambr.com/careers,Melbourne,"Airline revenue management optimisation and dynamic pricing analytics, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://amadeus.com/en/airlines/products/segment-revenue-management-flex,Segment Revenue Management Flex: Airline Revenue Management | Amadeus Achieve top performance with Segment Revenue Management Flex. Turn data into new opportunities thanks to this solution from Amadeus. Learn more.
CancerAid,canceraid.com,https://canceraid.com/careers,Sydney,"Digital companion app for cancer patients tracking symptoms and treatment progress, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://osarahealth.com/,"Osara Health | Home Transforming the care in cancer We empower individuals affected by cancer to thrive through clinical expertise, empathy, and human connection. Osara for Organizations Osara for Individuals Millions of people have access to Osara’s programs and coaches. Our programs Empowering individuals living with cancer through empathy and technology. Supporting them starts with supporting you. Results we’re […]"
Actionstep,actionstep.com,https://actionstep.com/careers,Auckland,"Legal practice management and matter workflow platform for law firms, Sydney NSW AU office",Medium - first-party homepage metadata captured,https://www.actionstep.com/,Actionstep | Law Firm Management Software Build your firm advantage with Actionstep: The legal management software that offers comprehensive control over your success. Perfect your legal workflows and build better client experiences.
RocketBoots,rocketboots.com,https://rocketboots.com/careers,Brisbane,"Spatial analytics and indoor positioning for retail and venue intelligence, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.rocketboots.com/,"Optimizing business with Computer Vision & Machine Learning - RocketBoots RocketBoots is an ASX listed company applies the power of mathematics, computer science and machine learning to fundamental business problems."
Koda Capital,kodacapital.com,https://kodacapital.com/careers,Sydney,"Independent wealth management and technology platform for high net worth, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://kodacapital.com,Home - Koda Capital Investors deserve genuinely independent advice – and the better outcomes that come with it. That’s why we have pioneered a distinctively different approach to wealth management.
Coder Academy,coderacademy.edu.au,https://coderacademy.edu.au/careers,Brisbane,"Accredited coding bootcamp and software development diploma programs, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://coderacademy.edu.au,"Accredited Coding Courses | Coder Academy Learn to code at Australia’s original accredited coding bootcamp academy. We offer hands-on, engaging coding courses for everyone."
Cover More,covermore.com.au,https://covermore.com.au/careers,Sydney,"Travel insurance technology and assistance services owned by Zurich, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.covermore.com.au/,"Pack Cover-More travel insurance and worry less Planning a trip? Pack award-winning Cover-More insurance. Get cover for overseas medical costs, smartphones, 24/7 assistance, and more. Fast quotes."
Siteassist,siteassist.co,https://siteassist.co/careers,Sydney,"Construction site visitor management and safety induction check-in platform, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.siteassist.com/,"SiteAssist | Control of Works Platform for High-Risk Sites Digital Control of Works platform for high-risk industries. Standardise safety processes, reduce incidents, and improve compliance across construction and utilities."
Paydirt,paydirt.com.au,https://paydirt.com.au/careers,Brisbane,"Mining project management and cost control software for exploration companies, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.paydirt.com.au/,"Australia's Mining Magazine | Paydirt Media Australia top resources news media with two global magazines, targeting industry decision-makers and investors"
Serenity Forge,serenityforge.com,https://serenityforge.com/careers,Brisbane,"Independent game development studio with narrative and wellness-focused titles, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://serenityforge.com,"Serenity Forge | Home Serenity Forge is a video game publisher and development studio based in Boulder, CO. We create meaningful games that challenge the way you think."
