name,domain,careers_url,city,reason,confidence,source_url,technology_rationale
Canstar,canstar.com.au,https://canstar.com.au/careers,Brisbane,"Financial product comparison marketplace and consumer-facing ratings engine, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.canstar.com.au/,"Canstar - Compare Insurance, Loans, Credit Cards & More"
Marketplacer,marketplacer.com,https://marketplacer.com/careers,Melbourne,"White-label online marketplace and dropship commerce platform, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://marketplacer.com,"Marketplacer: Build, Scale, And Grow Your Marketplace"
PropTrack,proptrack.com.au,https://proptrack.com.au/careers,Melbourne,"Automated valuation models and property data analytics owned by REA Group, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.proptrack.com.au/,"Home - PropTrack Empower your organisation with the most effective market insights available today. PropTrack gives your business the edge through unique insights, effective market intelligence, automated and accurate valuations, and comprehensive data solutions."
Butn,butn.com.au,https://butn.com.au/careers,Sydney,"Invoice financing and embedded lending platform for SME cash flow, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.butn.co/,"Butn - Embedded Invoice Finance Solutions / Business Finance For Australian Businesses. Butn is reinventing the way Australian cashﬂow finance works in business with simple, secure and instant finance solutions for every business need."
Hivery,hivery.com,https://hivery.com/careers,Sydney,"Retail space and assortment optimisation AI for CPG and category planning, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.hivery.com/,HIVERY: AI-driven retail optimization. Data Has A Better Idea™ | HIVERY Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow Right Arrow X HIVERY offers advanced analytics for optimizing retail assortment strategies. HIVERY uses cutting-edge AI algorithms to empower retailers and CPG brands.
Euclideon,euclideon.com,https://euclideon.com/careers,Brisbane,"Unlimited detail 3D point-cloud rendering engine for GIS and simulation, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.euclideon.com/,404 - Page Not Found | Euclideon The page you are looking for could not be found on Euclideon.
Tether,tether.io,https://tether.io/careers,Sydney,"IoT asset tracking and cold-chain monitoring for logistics and healthcare, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://tether.io,"Tether | The Stable Company A decentralised, open, sustainable future starts here, with the technology Tether supports and creates, for us all."
Tillpoint,tillpoint.com,https://tillpoint.com/careers,Sydney,"Cloud EPOS and inventory management for hospitality and retail, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.tillpoint.com/,"tillpoint - ""Streamline Transactions, Elevate Your Business."" ""Streamline Transactions, Elevate Your Business."""
Greener,greener.com.au,https://greener.com.au/careers,Brisbane,"Residential solar and battery installation marketplace with instant quoting, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.greener.com.au/,"Mandatory Climate Reporting Software Australia | Best Carbon Accounting Software Australia Mandatory Climate Reporting Australia made easy with Greener. Our carbon accounting software simplifies compliance, carbon reporting, and Scope 3 emissions tracking, providing audit-ready evidence and AASB S2 compliance in weeks, not months."
Raygun,raygun.com,https://raygun.com/careers,Wellington,"Application performance monitoring and crash reporting SaaS, Sydney NSW AU office",Medium - first-party homepage metadata captured,https://raygun.com,"Raygun - Application Monitoring For Web & Mobile Apps Raygun gives you a window into how users are really experiencing your software applications. Detect, diagnose and resolve issues that are affecting end users."
Creditor Watch,creditorwatch.com.au,https://creditorwatch.com.au/careers,Sydney,"Commercial credit bureau and trade-credit risk scoring for Australian businesses, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://creditorwatch.com.au,"Australia's Leading Commercial Credit Reporting Platform | CreditorWatch CreditorWatch helps you onboard quickly, manage credit decisions effectively and safeguard your cash flow."
Assembly Payments,assemblypayments.com,https://assemblypayments.com/careers,Melbourne,"Embedded payments and multi-party escrow platform for platform businesses, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.hellozai.com/,Zai | Complex Online Payments Made Simple Complex payment solutions for businesses with all-in-one payment processing and workflow automation to simplify and scale operations.
Octane AI,octaneai.com,https://octaneai.com/careers,Sydney,"Conversational quiz and product-recommendation engine for e-commerce brands, Sydney NSW AU office",Medium - first-party homepage metadata captured,https://octaneai.com,"Octane AI - #1 Product Quiz Platform for Shopify | AI-Powered Recommendations Create personalized product quizzes that convert browsers into buyers. AI-powered recommendations, Klaviyo integration, 42% email opt-in rates. Trusted by Jones Road Beauty, ILIA & 5,000+ Shopify stores."
Propeller Aero,propelleraero.com,https://propelleraero.com/careers,Sydney,"Drone-survey analytics and site-progress visualisation for earthworks, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.propelleraero.com/,Drone Mapping & 3D Construction Data Analytics | Propeller Aero Explore smart surveys for earthworks and enhance your project efficiency with unified mapping and innovative analytics tools.
Judo Bank,judo.bank,https://judo.bank/careers,Melbourne,"Challenger business bank focused on SME relationship lending and term deposits, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.judo.bank:443/,Judo Bank - We're Boldly Backing Business
Hatch,hatch.team,https://hatch.team/careers,Melbourne,"Video-first graduate recruitment platform with structured capability screening, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://hatch.team,"Hatch | Find meaning in work Find your match in minutes. Hatch connects you with employers who value what you bring, so you can thrive in a role that truly fits you."
Partly,partly.com,https://partly.com/careers,Sydney,"Automotive parts marketplace with AI-powered fitment matching and VIN search, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.partly.com/,"Partly | AI Infrastructure for the vehicle repair industry Partly connects the parts supply chain, improving efficiency and unlocking automation for everyone."
Neighbourlytics,neighbourlytics.com,https://neighbourlytics.com/careers,Melbourne,"Urban analytics using social data to measure neighbourhood vitality for planners, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.neighbourlytics.com/,"Neighbourlytics | Tools for place managers Real-time lifestyle data for the community around your asset, every month. With no complex setup required, use our simple tools to identify activity hotspots, find top local amenities, or track your visitation patterns, every month."
AutoGuru,autoguru.com.au,https://autoguru.com.au/careers,Brisbane,"Online car servicing and repair marketplace for transparent upfront pricing, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://www.autoguru.com.au:443/,"AutoGuru - Car Servicing and Repairs Made Easy AG Text Logo AutoGuru makes it easy to find and book the best mechanics and auto repairers online, and helps unlock efficiency and growth for automotive businesses."
Laing O Rourke Digital,laingorourke.com,https://laingorourke.com/careers,Sydney,"Engineering and digital construction services with BIM and offsite manufacturing, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.laingorourke.com/,"Laing O’Rourke Laing O'Rourke is an international engineering enterprise, founded on over a century and a half of experience."
Intersective,intersective.com,https://intersective.com/careers,Sydney,"Work-integrated learning and industry project platform for universities, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://practera.com/,Experiential Learning & Industry Projects - Practera Practera runs authentic industry projects that build employability. The experiential learning platform for work-integrated (AU) and work-based learning (UK).
Academy Xi,academyxi.com,https://academyxi.com/careers,Sydney,"UX design and digital skills bootcamp with employer-sponsored cohorts, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://academyxi.com,"Academy Xi At Academy Xi, we help APAC's largest and most sophisticated organisations optimise performance with concise, actionable training solutions."
Pathzero,pathzero.com,https://pathzero.com/careers,Sydney,"Carbon accounting and emissions measurement platform for investment managers, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://pathzero.com,"The single source of truth for portfolio climate data - Pathzero Pathzero integrates your investment data, enriches it with private and public market climate metrics, and composes it into audit-ready reporting units. It’s the single platform to manage your data journey—from initial ingestion to final disclosure."
Aeeris,aeeris.com,https://aeeris.com/careers,Sydney,"Real-time severe weather alerts and climate risk analytics for critical infrastructure, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.aeeris.com/,"Aeeris | ASX | Critical Weather Event Monitoring and Reporting Search toggle Follow us on Instagram Search toggle Follow us on Instagram Search toggle Search Previous slide Next slide Follow us on Instagram Aeeris specialises in the protection of people, property, infrastructure and business operations. Find out how we can help you."
Stax,stax.io,https://stax.io/careers,Sydney,"AWS landing zone and cloud governance automation for regulated enterprises, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://versent.com.au/modern-run/versent-landing-zone/,Versent Landing Zone - Versent
Sonder,sonder.com.au,https://sonder.com.au/careers,Sydney,"Employee mental health and wellbeing platform with on-demand medical support, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://sonder.com.au,"🖥️ Digital Marketing Agency Brisbane | Sonder 🚀 We're a digital marketing agency 🖥️ helping Brisbane based businesses climb to the first page of Google for relevant, valuable search terms. 🚀"
InDebted,indebted.com,https://indebted.com/careers,Sydney,"AI-powered ethical debt resolution and digital collections platform, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.indebted.co/,InDebted | The collections backbone for leading organisations InDebted is changing the world of consumer debt recovery for good by creating a better way for businesses to support their customers to get back on track.
Kinexus,kinexus.com.au,https://kinexus.com.au/careers,Sydney,"Defence industry employment and workforce intelligence platform, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.kinexus.com.au/,"Kinexus | Recruitment, Employment and Industry Resourcing · Kinexus Kinexus provides recruitment and workforce support for a wide range of industries. Specialising in the defence sector, we provide you with the intel for your..."
Gretel.ai,gretel.ai,https://gretel.ai/careers,Sydney,"Synthetic data generation and privacy-preserving ML dataset platform, Sydney NSW AU office",Medium - first-party homepage metadata captured,https://www.nvidia.com/en-us/use-cases/synthetic-data-generation-for-agentic-ai/,"Synthetic Data Generation for Agentic AI | Use Case | NVIDIA NVIDIA Home Menu Menu Close Close Close Caret down icon Caret down icon Caret up icon Caret right icon Caret right icon Caret right icon Caret left icon Caret left icon Caret left icon Shopping Cart Search icon Artificial Intelligence Computing Leadership from NVIDIA Build SDG pipelines to power conversational AI, benchmarks, and agentic AI workflows with NVIDIA NeMo synthetic data tools."
Venly,venly.io,https://venly.io/careers,Melbourne,"Blockchain wallet and NFT API infrastructure for game and e-commerce integrations, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.venly.io/,"Venly | Blockchain Infrastructure & Stablecoin Payments Build secure wallets and tokenized products with Venly, or move money globally across fiat and stablecoin rails with Venly Finance."
Quantium,quantium.com.au,https://quantium.com.au/careers,Sydney,"Data science and analytics consultancy with Woolworths loyalty data assets, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://quantium.com/,Quantium | AI transformation and data analytics : Quantium Enterprise AI for complex business challenges
Proqual,proqual.com.au,https://proqual.com.au/careers,Brisbane,"Competency management and workforce qualification tracking for mining and construction, Brisbane QLD HQ",Medium - first-party homepage metadata captured,https://proqual.com.au,"Proqual — See What You Can Build on Any Block in Victoria Search any Victorian address to instantly see lot dimensions, zoning rules, buildable area, and home designs that actually fit. Free for any Victorian address."
Mynd.ai,mynd.ai,https://mynd.ai/careers,Sydney,"Emotion AI and facial-expression recognition for market research and retail, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://www.mynd.ai/,"Mynd.ai, Inc. (MYND) Seattle-based Mynd (NYSE American: MYND) is a global leader in interactive technology offering best-in-class hardware and software solutions that help organizations create and deliver dynamic content; simplify and streamline teaching, learning,…"
Strikingly,strikingly.com,https://strikingly.com/careers,Sydney,"Website builder and e-commerce platform for small business, Sydney NSW AU office",Medium - first-party homepage metadata captured,https://www.strikingly.com/,"How To Make a Website – Free Website Builder | Strikingly Strikingly is the best free website builder for anyone to create a gorgeous, mobile-friendly website easily. Quick, simple and stylish. Make your own free website today."
Jaxsta,jaxsta.com,https://jaxsta.com/careers,Sydney,"Official music credits database and royalties data platform for the music industry, Sydney NSW HQ",Medium - first-party homepage metadata captured,https://jaxsta.com,"Jaxsta Jaxsta is the largest music credits database globally, sourced directly from over 380+ industry partners, including labels, publishers, and distributors."
Hylo,hylo.com,https://hylo.com/careers,Melbourne,"Collaborative social network platform for purpose-driven communities, Melbourne VIC HQ",Medium - first-party homepage metadata captured,https://www.hylo.com/,"Hylo — Where people get organized, stay connected, and grow together. Hylo is the prosocial coordination platform for purpose-driven groups."
