name,domain,city,status,pages_checked,address_candidates,next_action
Devicie,devicie.com,Sydney,no_candidate_found,https://devicie.com/ | https://devicie.com/contact | https://devicie.com/contact-us | https://devicie.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Precision Agriculture Australia,precisionagriculture.com.au,Orange,no_candidate_found,https://precisionag.earth/ | https://precisionag.earth/contact | https://precisionag.earth/contact-us | https://precisionag.earth/locations,,Verify candidate text on the cited first-party page before geocoding.
Farmdeck,farmdeck.com,Orange,no_candidate_found,https://www.farmdeck.com:443/ | https://www.farmdeck.com/contact-us/ | https://www.farmdeck.com:443/locations,,Verify candidate text on the cited first-party page before geocoding.
Kurrajong Tech,kurrajong.com.au,Wagga Wagga,no_candidate_found,https://www.kurrajong.com.au/ | https://www.kurrajong.com.au/contact | https://www.kurrajong.com.au/contact-us/ | https://www.kurrajong.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
AgriFutures Australia Tech,agrifutures.com.au,Wagga Wagga,no_candidate_found,https://agrifutures.com.au/ | https://agrifutures.com.au/contact-us/ | https://agrifutures.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Flow Hive Tech,honeyflow.com.au,Byron Bay,no_candidate_found,https://www.honeyflow.com.au/ | https://www.honeyflow.com.au/contact | https://www.honeyflow.com.au/contact-us | https://www.honeyflow.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Precision Pastures,precisionpastures.com.au,Armidale,no_candidate_found,https://www.precisionpastures.com.au/ | https://www.precisionpastures.com.au/contact/ | https://www.precisionpastures.com.au/contact-us | https://www.precisionpastures.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
BeefLedger,beefledger.io,Tamworth,no_candidate_found,https://beefledger.io/ | https://beefledger.io/contact/ | https://beefledger.io/contact-us | https://beefledger.io/locations,,Verify candidate text on the cited first-party page before geocoding.
Agile Digital,agiledigital.com.au,Canberra,no_candidate_found,https://agiledigital.com.au/ | https://agiledigital.com.au/contact | https://agiledigital.com.au/contact-us | https://agiledigital.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Noetic Group Tech,noeticgroup.com,Canberra,no_candidate_found,https://atturra.com/au-en/solutions/advisory-consulting/ | https://atturra.com/au-en/solutions/advisory-consulting/contact | https://atturra.com/au-en/solutions/advisory-consulting/contact-us | https://atturra.com/au-en/solutions/advisory-consulting/locations,,Verify candidate text on the cited first-party page before geocoding.
CEA Technologies,cea.com.au,Canberra,no_candidate_found,https://www.cea.com.au/ | https://www.cea.com.au/contact | https://www.cea.com.au/contact-us/ | https://www.cea.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Koala Tech,koala.com,Sydney,no_candidate_found,https://au.koala.com/ | https://au.koala.com/contact | https://au.koala.com/pages/contact | https://au.koala.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Forter Australia,forter.com,Sydney,no_candidate_found,https://www.forter.com/ | https://www.forter.com/contact-us/ | https://www.forter.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Outpost Central,outpostcentral.com,Newcastle,no_candidate_found,https://outpostcentral.com/ | https://outpostcentral.com/contact | https://outpostcentral.com/contact-us | https://outpostcentral.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Fologram,fologram.com,Melbourne,no_candidate_found,https://fologram.com/ | https://fologram.com/contact | https://fologram.com/contact-us | https://fologram.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Bendigo Telco Tech,bendigotelco.com.au,Bendigo,no_candidate_found,https://bendigotelco.com.au/ | https://bendigotelco.com.au/contact | https://bendigotelco.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Moula Money,moula.com.au,Melbourne,no_candidate_found,https://moula.com.au/ | https://moula.com.au/contact | https://moula.com.au/contact-us | https://moula.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Pepperstone,pepperstone.com,Melbourne,no_candidate_found,https://pepperstone.com/en-au | https://pepperstone.com/en-au/contact | https://pepperstone.com/en-au/support/contact-us | https://pepperstone.com/en-au/locations,,Verify candidate text on the cited first-party page before geocoding.
Sportsbet Tech,sportsbet.com.au,Melbourne,no_candidate_found,https://www.sportsbet.com.au/,,Verify candidate text on the cited first-party page before geocoding.
Openpay Tech,openpay.com.au,Melbourne,no_candidate_found,https://pay.com.au/ | https://pay.com.au/contact | https://pay.com.au/contact-us | https://pay.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
TradeSquare,tradesquare.com.au,Melbourne,no_candidate_found,https://www.tradesquare.com.au/ | https://www.tradesquare.com.au/contact | https://www.tradesquare.com.au/contact-us | https://www.tradesquare.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Versent,versent.com.au,Melbourne,no_candidate_found,https://versent.com.au/ | https://versent.com.au/contact/ | https://versent.com.au/contact-us | https://versent.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Austeng Tech,austeng.net.au,Geelong,no_candidate_found,https://austeng.net.au/ | https://austeng.net.au/contact-us/ | https://austeng.net.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Gippsland Water Digital,gippswater.com.au,Traralgon,no_candidate_found,https://www.gippswater.com.au/ | https://www.gippswater.com.au/contact | https://www.gippswater.com.au/contact-us | https://www.gippswater.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Star of the South Telemetry,starofthesouth.com.au,Traralgon,no_candidate_found,https://southerlyten.com.au/project/star-of-the-south/ | https://southerlyten.com.au/project/star-of-the-south/contact | https://southerlyten.com.au/project/star-of-the-south/contact-us | https://southerlyten.com.au/project/star-of-the-south/locations,,Verify candidate text on the cited first-party page before geocoding.
Midfield Automation,midfield.com.au,Warrnambool,no_candidate_found,https://midfield.com.au/ | https://midfield.com.au/contact/ | https://midfield.com.au/contact-us | https://midfield.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Opmantek Software,opmantek.com,Gold Coast,no_candidate_found,https://firstwave.com/ | https://firstwave.com/contact/ | https://firstwave.com/locations,,Verify candidate text on the cited first-party page before geocoding.
Cityzen Tech,cityzen.com.au,Gold Coast,no_candidate_found,https://cityzen.com.au/ | https://cityzen.com.au/contact/ | https://cityzen.com.au/contact-us | https://cityzen.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Mount Isa Mineral Sensors,mountisaminerals.com.au,Mount Isa,no_candidate_found,https://www.mountisaminerals.com.au/ | https://www.mountisaminerals.com.au/contact/ | https://www.mountisaminerals.com.au/contact-us | https://www.mountisaminerals.com.au/locations,,Verify candidate text on the cited first-party page before geocoding.
Pointerra,pointerra.com,Perth,no_candidate_found,https://www.pointerra.com/ | https://www.pointerra.com/contact/ | https://www.pointerra.com/contact-us | https://www.pointerra.com/locations,,Verify candidate text on the cited first-party page before geocoding.
