name,domain,city,harvest_status,source_url,http_status,page_title,meta_description,diagnostic,next_action
HiveUAV,hiveuav.com,Newcastle,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Devicie,devicie.com,Sydney,metadata_captured_needs_human_assessment,https://devicie.com,200,Intune Device Management That Scales | Devicie,"Devicie helps IT teams scale secure device management across applications, patching, compliance, and fleet health, with automation built for Microsoft environments.",,Assess this primary-source metadata before creating a seed fixture.
Precision Agriculture Australia,precisionagriculture.com.au,Orange,metadata_captured_needs_human_assessment,https://precisionag.earth/,200,Precision Ag,Australia's leading provider of variable rate farming solutions,,Assess this primary-source metadata before creating a seed fixture.
Farmdeck,farmdeck.com,Orange,metadata_captured_needs_human_assessment,https://www.farmdeck.com:443/,200,Farmdeck: Revolutionizing Farm Management Today,Manage your farm effortlessly with Farmdeck. Our advanced technology helps farmers monitor water levels and livestock effectively.,,Assess this primary-source metadata before creating a seed fixture.
AgDNA,agdna.com,Dubbo,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Kurrajong Tech,kurrajong.com.au,Wagga Wagga,metadata_captured_needs_human_assessment,https://www.kurrajong.com.au/,200,"Disability Services, NDIS and Supported Employment",Registered NDIS provider Kurrajong has helped people with disability live a life of their choice for over 60 years in Wagga Wagga.,,Assess this primary-source metadata before creating a seed fixture.
AgriFutures Australia Tech,agrifutures.com.au,Wagga Wagga,metadata_captured_needs_human_assessment,https://agrifutures.com.au,200,AgriFutures Australia | Our vision is to grow the long-term prosperity of Australian rural industries.,"AgriFutures Australia invests in research, innovation and leadership to grow the long-term prosperity of Australian rural industries.",,Assess this primary-source metadata before creating a seed fixture.
Flow Hive Tech,honeyflow.com.au,Byron Bay,metadata_captured_needs_human_assessment,https://www.honeyflow.com.au/,200,Honey Straight From The Beehive | Australian Made & Invented,"Flow is a revolutionary beehive invention, allowing you to harvest honey without opening the hive and with minimal disturbance to the bees.",,Assess this primary-source metadata before creating a seed fixture.
SMART Farm UNE,smartfarmune.com.au,Armidale,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Precision Pastures,precisionpastures.com.au,Armidale,metadata_captured_needs_human_assessment,https://www.precisionpastures.com.au/,200,Precision Pastures — Measured. Trusted. Productive.,Precision Pastures is Australia's only full-service soil carbon provider incorporating agronomy services. From soil sampling and pasture management to ACCU project registration — we're with you every step of the way.,,Assess this primary-source metadata before creating a seed fixture.
BeefLedger,beefledger.io,Tamworth,metadata_captured_needs_human_assessment,https://beefledger.io,200,Transforming Food Supply Chains – The Blockchain Way,"See how blockchain is making the food industry transparent and sustainable, improving traceability and ensuring better practices from production to delivery.",,Assess this primary-source metadata before creating a seed fixture.
Agile Digital,agiledigital.com.au,Canberra,metadata_captured_needs_human_assessment,https://agiledigital.com.au,200,Agile Digital - Digital Strategy & Enterprise Software Development,Inspired digital strategy and software development. Partner with award-winning product & platform engineers to create your brightest future 🚀,,Assess this primary-source metadata before creating a seed fixture.
Noetic Group Tech,noeticgroup.com,Canberra,metadata_captured_needs_human_assessment,https://atturra.com/au-en/solutions/advisory-consulting/,200,Advisory & Consulting - Atturra AU,Atturra advisory and consulting services help organisations define strategy and deliver successful digital transformation programs.,,Assess this primary-source metadata before creating a seed fixture.
CEA Technologies,cea.com.au,Canberra,metadata_captured_needs_human_assessment,https://www.cea.com.au/,200,"CEA Technologies was established in 1983 by two former Naval Officers
          with a goal of creating a centre of excellence for the design and
support of systems for the Australian Defence Force.",,,Assess this primary-source metadata before creating a seed fixture.
Koala Tech,koala.com,Sydney,metadata_captured_needs_human_assessment,https://au.koala.com/,200,"Koala Sofas, Mattresses & Furniture | Koala®","Award-winning Koala sofas, mattresses and furniture with fast Australia-wide delivery, 120-day trial, easy returns and sustainably made designs.",,Assess this primary-source metadata before creating a seed fixture.
Forter Australia,forter.com,Sydney,metadata_captured_needs_human_assessment,https://www.forter.com/,200,Forter – Agentic Intelligence you can trust,"AI powered fraud, abuse, and payment decisions — so your best customers feel less friction, and you leave no revenue behind.",,Assess this primary-source metadata before creating a seed fixture.
Smart Cities IoT Australia,smartcitiesiot.com.au,Wollongong,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Me3D,me3d.com.au,Wollongong,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Outpost Central,outpostcentral.com,Newcastle,metadata_captured_needs_human_assessment,https://outpostcentral.com,200,Outpost Central |  Smart Water Meters | Environmental Monitoring,,,Assess this primary-source metadata before creating a seed fixture.
Geolyse Tech,geolyse.com,Orange,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
SproutX Regional Tech,sproutx.com.au,Albury,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Southern Riverina IoT,southernriverinaiot.com.au,Deniliquin,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Subzero Robotics,subzerorobotics.com.au,Coffs Harbour,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Sol-Secure,sol-secure.com.au,Port Macquarie,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Livestock Water Solutions,livestockwatersolutions.com.au,Moree,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Hunter Hydrogen Tech,hunterhydrogentech.com.au,Newcastle,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
Hypersense Software,hypersensesoftware.com.au,Newcastle,skipped_unreachable,,,,,,Find an authoritative company source before creating a seed fixture.
